rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,power_on,steering_left,steering_right,throttle_right,throttle_left,brake_front_right,brake_front_left,brake_rear_right,brake_rear_left,wheel_speed_front_left,wheel_speed_front_right,wheel_speed_rear_left,wheel_speed_rear_right
1582304457620639806,,0,,1582304457,619737643,'',True,-0.778788983822,-0.778788983822,1.0,1.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
1582304458120640527,,0,,1582304458,119735374,'',True,0.0,0.0,1.0,1.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
1582304458620648407,,0,,1582304458,619737394,'',True,0.0,0.0,1.0,1.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
1582304459120655696,,0,,1582304459,119736809,'',True,0.0,0.0,1.0,1.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
1582304459620657747,,0,,1582304459,619737794,'',True,0.0,0.0,1.0,1.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
1582304460120663409,,0,,1582304460,119736884,'',True,0.0,0.0,1.0,1.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
1582304460621700063,,0,,1582304460,621737915,'',True,0.0,0.0,1.0,1.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
1582304461122631774,,0,,1582304461,121738004,'',True,0.97976142168,0.97976142168,1.0,1.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
1582304461623620557,,0,,1582304461,622737290,'',True,0.257661342621,0.257661342621,1.0,1.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
1582304462123687277,,0,,1582304462,122736335,'',True,0.761987745762,0.761987745762,1.0,1.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
1582304462624662694,,0,,1582304462,623737012,'',True,0.471612155437,0.471612155437,1.0,1.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
1582304463125633408,,0,,1582304463,124736983,'',True,1.0,1.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
1582304463625672897,,0,,1582304463,624738471,'',True,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
1582304464126681738,,0,,1582304464,125738553,'',True,-1.0,-1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
1582304464627626075,,0,,1582304464,626735450,'',True,-1.0,-1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
1582304465127680484,,0,,1582304465,126738460,'',True,-0.622148752213,-0.622148752213,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
1582304465628620726,,0,,1582304465,627734884,'',True,-1.0,-1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1582304466128668236,,0,,1582304466,127738499,'',True,-0.37379232049,-0.37379232049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1582304466629621964,,0,,1582304466,628736028,'',True,0.0,0.0,0.140883088112,0.140883088112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1582304467129676967,,0,,1582304467,128737440,'',True,0.689385831356,0.689385831356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1582304467630654290,,0,,1582304467,629736993,'',True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1582304468131605552,,0,,1582304468,130735864,'',True,0.0,0.0,0.0,0.0,0.917118191719,0.917118191719,0.917118191719,0.917118191719,0.0,0.0,0.0,0.0
1582304468631643859,,0,,1582304468,630737458,'',True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1582304469132612354,,0,,1582304469,131735563,'',True,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1582304469632660851,,0,,1582304469,631739190,'',True,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
1582304470133680918,,0,,1582304470,132736473,'',True,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
1582304470634711811,,0,,1582304470,634736797,'',True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1582304471135645827,,0,,1582304471,134768035,'',True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1582304471635680140,,0,,1582304471,634736335,'',True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1582304472136689871,,0,,1582304472,135735938,'',True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1582304472636718661,,0,,1582304472,636741969,'',True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1582304473137686832,,0,,1582304473,137741382,'',True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1582304473638672390,,0,,1582304473,637736710,'',True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1582304474139638895,,0,,1582304474,138734894,'',True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1582304474640628535,,0,,1582304474,639737595,'',True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
